1	a green statue of a man standing in front of a building.	dinosaur
2	a blurry picture of a purple object in the air.	apple
3	a blurry picture of a person with a blue shirt.	boy
fish_4	a blurry image of a building in the background.	aquarium
5	a blurry picture of a blue and white object.	telephone
6	a blurry photo of a set of stairs.	train
7	a glass of water in the white background.	cup
8	a blurry picture of a window with a light.	cloud
9	a blurry picture of a elephant walking.	elephant
10	a close up of a cat's face in the background.	keyboard
tree_11	a blurry picture of a city street in the background.	willow
12	a blurred image of a blue object in the background.	sunflower
13	a blurry picture of a city skyline.	castle
14	a blurry picture of a window with a building in the background.	sea
15	a blurry picture of a building in the background.	keyboard
16	a blurred image of a building through a window.	bicycle
17	a blurry image of a person in a room.	wolf
18	a blurry image of a building in the background.	squirrel
19	a pink sky in the background of a brown area.	sea
20	a blurry picture of a cat running.	shrew
tree_21	a blurry picture of a man with a cell phone.	pine
22	a close up of a blue and white background.	rose
23	a blurry picture of a television screen.	television
tree_24	a blurry image of a tree in the background.	pine
25	a blurry picture of a white table in a room.	table
26	a blurry picture of a man in a blue shirt.	possum
tree_27	a blurred image of a tree in front of a building.	oak
28	a close up of a building in the background.	leopard
29	a blurry picture of a cat looking out a window.	possum
30	a blurry picture of a toy train in a room.	bicycle
31	a blurry picture of a building in the background.	castle
tree_32	a close up of a green background of a tree.	maple
33	a blurry image of a person standing in a room.	rabbit
34	a blurry image of a man with a beard.	chimpanzee
35	a blurry picture of a person standing in front of a cell phone.	clock
36	a blurry picture of a blue and purple background.	streetcar
37	a blurry picture of a man holding a cell phone.	boy
38	a black and white bug flying through the air.	cockroach
39	a blurry picture of a blue and white background.	table
40	a blurry picture of a cat in a mirror.	snake
41	a close up of a blue object with a blurry background.	lobster
42	a blurred view of a city in the background.	mountain
43	a blurry picture of a tree in the background.	wolf
tree_44	a blurry picture of a tree in the background.	palm
45	a blue object is in the background of a building.	skyscraper
46	a blurry picture of a building in the background.	boy
47	a blurry picture of a body of water and a blue pool.	train
48	a blurry picture of a city street in the background.	tractor
49	a blue bird is sitting in a bunch of green plants.	snake
50	a blurry picture of a cat in the dark.	shark
51	a close up of a bunch of blue flowers.	butterfly
52	a blurry picture of a room with a table.	television
53	a blurry picture of a blurred image of a bottle.	bottle
54	a blurry picture of a street in the distance.	sea
55	a blurry picture of a plant in the blue sky.	bee
tree_56	a blurry picture of a blue background with a blurred sky.	maple
57	a blue chair sitting in a room.	chair
58	a blurry picture of a man in a green background.	woman
tree_59	a blurry picture of a colorful background.	maple
60	a blurry picture of a blue tree in the background.	hamster
61	a blurry image of a building in the background.	otter
62	a blurry image of a dog in a room.	seal
63	a blurry image of a person standing in a room.	lion
64	a close up of a metal object with a blurred background.	mushroom
65	a blurry picture of a person with a blue face.	girl
pepper_66	a close up of a green cat's face.	sweet
67	a blurry image of a window with a building in the background.	forest
68	a blurry picture of a building in the background.	crocodile
69	a close up of blue flowers in a tree.	orange
70	a close up of a blue object in the background.	tulip
71	a green bird is sitting on the ground.	mouse
72	a blurry image of a person walking in the street.	camel
73	a blurred picture of a game on a green field.	tractor
74	a blurred picture of a baseball game on a field.	hamster
75	a blurry picture of a green plant in the background.	caterpillar
