ImageID,Caption,Nouns,Type
ILSVRC2012_val_00038894,a toy car with a hole in the roof,"['toy', 'car', 'hole', 'roof']",OOD
ILSVRC2012_val_00038344,a red car driving around orange cones on a track,"['car', 'cones', 'track']",OOD
ILSVRC2012_val_00025260,a person driving a red race car on a track,"['person', 'race', 'car', 'track']",OOD
ILSVRC2012_val_00004970,a yellow sports car parked in a parking lot,"['sports', 'car', 'parking', 'lot']",OOD
ILSVRC2012_val_00022739,a red car driving around orange cones in a parking lot,"['car', 'orange', 'cones', 'parking', 'lot']",OOD
ILSVRC2012_val_00004979,an orange lamborghini parked on the side of a street,"['orange', 'lamborghini', 'side', 'street']",OOD
ILSVRC2012_val_00035309,a little boy standing in front of a car,"['boy', 'front', 'car']",OOD
ILSVRC2012_val_00033293,a group of cars parked on a dirt road,"['group', 'cars', 'dirt', 'road']",OOD
ILSVRC2012_val_00001247,a yellow car parked in front of a castle,"['car', 'front', 'castle']",OOD
ILSVRC2012_val_00041064,a convertible car parked in the grass near a tree,"['car', 'grass', 'tree']",OOD
ILSVRC2012_val_00010206,an old red car on display at a show,"['car', 'display', 'show']",OOD
ILSVRC2012_val_00037952,a red car on display at a car show,"['car', 'display', 'car', 'show']",OOD
ILSVRC2012_val_00032944,a red sports car parked in front of a building,"['sports', 'car', 'front', 'building']",OOD
ILSVRC2012_val_00035603,a silver car is on display at a show,"['car', 'display', 'show']",OOD
ILSVRC2012_val_00005456,a red sports car parked in a parking lot,"['sports', 'car', 'parking', 'lot']",OOD
ILSVRC2012_val_00022246,a black convertible car parked on the grass,"['car', 'grass']",OOD
ILSVRC2012_val_00030351,a black porsche car parked on the side of a street,"['porsche', 'car', 'side', 'street']",OOD
ILSVRC2012_val_00004076,a red car is parked on a gravel road,"['car', 'gravel', 'road']",OOD
ILSVRC2012_val_00025587,a red sports car parked on the side of a road,"['sports', 'car', 'side', 'road']",OOD
ILSVRC2012_val_00025004,a red race car sitting on the ground with tires,"['race', 'car', 'ground', 'tires']",OOD
ILSVRC2012_val_00007592,a rear view of a grey sports car parked in front of people,"['view', 'sports', 'car', 'front', 'people']",OOD
ILSVRC2012_val_00027397,a white car is parked in a parking lot,"['car', 'parking', 'lot']",OOD
ILSVRC2012_val_00003896,a silver sports car parked on the side of a street,"['sports', 'car', 'side', 'street']",OOD
ILSVRC2012_val_00049675,a lime green car parked in a building,"['lime', 'car', 'building']",OOD
ILSVRC2012_val_00036695,a man sitting in a red car in a parking lot,"['man', 'car', 'parking', 'lot']",OOD
ILSVRC2012_val_00007125,a blue race car is parked in front of a red barrier,"['race', 'car', 'front', 'barrier']",OOD
ILSVRC2012_val_00028336,a red car driving around orange cones in a parking lot,"['car', 'orange', 'cones', 'parking', 'lot']",OOD
ILSVRC2012_val_00045210,a yellow car is parked in a parking lot,"['car', 'parking', 'lot']",OOD
ILSVRC2012_val_00049427,a sports car parked in the grass at a car show,"['sports', 'car', 'grass', 'car', 'show']",OOD
